Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 98.41      0.62     0.62                             main
  1.59      0.63     0.01      100   100.00   100.00  game_of_life_stats
  0.00      0.63     0.00      101     0.00     0.00  get_elapsed_time
  0.00      0.63     0.00      101     0.00     0.00  init_time
  0.00      0.63     0.00      100     0.00     0.00  visualise
  0.00      0.63     0.00        2     0.00     0.00  report_memory_usage
  0.00      0.63     0.00        1     0.00     0.00  cpuset_to_cstr
  0.00      0.63     0.00        1     0.00     0.00  generate_IC
  0.00      0.63     0.00        1     0.00     0.00  getinput
  0.00      0.63     0.00        1     0.00     0.00  report_core_binding
  0.00      0.63     0.00        1     0.00     0.00  report_runtime_state
